2403 entries need school name enrichment
[5/3613] 0% - Enriched: 4, Failed: 0
[10/3613] 0% - Enriched: 8, Failed: 0
[15/3613] 0% - Enriched: 13, Failed: 0
[20/3613] 1% - Enriched: 17, Failed: 0
[25/3613] 1% - Enriched: 21, Failed: 0
[30/3613] 1% - Enriched: 24, Failed: 0
[35/3613] 1% - Enriched: 28, Failed: 0
[40/3613] 1% - Enriched: 31, Failed: 0
[45/3613] 1% - Enriched: 34, Failed: 0
[50/3613] 1% - Enriched: 38, Failed: 0
[55/3613] 2% - Enriched: 41, Failed: 0
[60/3613] 2% - Enriched: 43, Failed: 0
[65/3613] 2% - Enriched: 46, Failed: 0
[70/3613] 2% - Enriched: 51, Failed: 0
[75/3613] 2% - Enriched: 54, Failed: 0
